Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18
36d17624c4956f7ec57e3ba3f81a5379,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427501803e90dc3c8e33da5f9bdae647,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
e19197aa8ba0c21ecc4c0239fd69c06e,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
dc4153fc5a69e7e7fd9fd44c93cbe77f,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
70855fe05c5c799becb6eddf959e0d68,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690c4c08c4eabc3c8429b255a45db69f,63,40,24,55,32,44,20,30,66,39,70,67,103,42,116,18,50,32
cf2b9941f0127864c81e2ee8faaed220,0,0,0,5,0,56,0,0,0,0,0,0,0,0,10,0,0,0
cfa199444cdeb21eb9f947f328576bff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1975272417734537efc38f36a5b48294,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
071ef2d066c3a582fa460e6cdfa2fdb8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
7bab4c27050f02437fdae9021ab6ada8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f44d1aa1fe2e7190ff522e64ae213f0a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
b2291525b75c0100f8ee1c1730f85a13,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
38f18fc5bae3522e60093b9e6b0f53d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c97e8bfff610d65f354c8086e5cef28c,0,0,0,8,0,0,0,0,0,0,0,0,0,0,17,0,0,0
f6c8d39474448346bf955022769db60c,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533ee33a47ec88114ce5b0cbbbc1eb98,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
032cbe763a0f3068c656a68467cd75d5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
b69786a48d42ac55f2e54fe167a3c28e,0,0,0,23,25,0,11,0,1,3,0,0,4,8,14,0,23,0
