SampleID,Family,DNA_rel,Abundance,MeanMass
SPV-1,Rhabditidae,0.148817803,12,0.0649455
SPV-2,Rhabditidae,0.011126565,48,0.153521674
SPV-3,Rhabditidae,0.02364395,38,0.014707718
FA-1,Rhabditidae,0.020862309,15,0.072122356
FA-2,Rhabditidae,0.091794159,35,0.057397304
FA-3,Rhabditidae,0.079276773,8,0.043745281
PN-1,Tylenchidae,0.029207232,7,0.1779122
PN-2,Tylenchidae,0.233657858,39,0.271966408
PN-3,Tylenchidae,0.191933241,39,0.118838227
PNV-1,Tylenchidae,0.001390821,33,0.007350042
PNV-2,Tylenchidae,0,15,0.018332192
PNV-3,Tylenchidae,0.0472879,33,0.052055757
PS-1,Tylenchidae,0.058414465,27,0.127190387
PS-2,Tylenchidae,0.002781641,19,0.073477587
PS-3,Tylenchidae,0,7,0.012095018
SP-1,Tylenchidae,0.022253129,11,0.03541596
SP-2,Tylenchidae,0,13,0.052120484
SP-3,Tylenchidae,0.114047288,64,0.22459819
SPV-1,Tylenchidae,0,12,0.035583202
SPV-2,Tylenchidae,0.004172462,3,0.008096948
SPV-3,Tylenchidae,0.002781641,14,0.014807379
FA-1,Tylenchidae,0.001390821,20,0.031373445
FA-2,Tylenchidae,0.097357441,19,0.029259593
FA-3,Tylenchidae,0.031988873,20,0.044107891
